filename,extension,filetype,lake,file_datetime,current_datetime,forecast,url
s202002312.0.wnd,wnd,WINDS,superior,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
s202002312.0.wav,wav,WAVES,superior,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
s202002312.0.swt,swt,SURFACE TEMPS,superior,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
s202002312.0.ice,ice,ICE PARAMS,superior,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
s202002312.0.cur,cur,SURFACE CURRENTS,superior,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
o202002312.0.wnd,wnd,WINDS,ontario,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
o202002312.0.wav,wav,WAVES,ontario,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
o202002312.0.swt,swt,SURFACE TEMPS,ontario,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
o202002312.0.ice,ice,ICE PARAMS,ontario,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
o202002312.0.cur,cur,SURFACE CURRENTS,ontario,2020-01-23 12:00:00+00:00,2020-01-23 14:12:07.066197+00:00,FCAST,http://www.glerl.noaa.gov/ftp/EMF/glcfs/gridded_fields/FCAST/
